"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @_lukile_: this guy buying a ticket for a book https://t.co/hbXEZnitJy",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506210897921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","endomaster2",78308,TRUE,FALSE,NA,NA
"RT @tkalovell: [demonically] NO! https://t.co/HbeJuItXci",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506206756864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","burr1997x",139,TRUE,FALSE,NA,NA
"RT @marleneexc: i really thought i had my life together , false alarm<U+0001F614><U+270B><U+0001F3FB>",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506202546176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","valeriabanda6",1,TRUE,FALSE,NA,NA
"This new Instagram update <U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525>",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506202501120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BibbySmalls",0,FALSE,FALSE,NA,NA
"RT @dmqstna: eh motherfucker ur brain smth wrong ah ? https://t.co/s2RhrHBt4r",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506202349568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","feesyazwani",1,TRUE,FALSE,NA,NA
"RT @miketrey06: I think I have an obsession with white shoes",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506194178053",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natasha93980029",11,TRUE,FALSE,NA,NA
"RT @DeAnna4Congress: THANK YOU to all the patriots that came out today to help me with my #SFCleanup today- cleaning up the streets of #San…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506181414912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAGAForce2",239,TRUE,FALSE,NA,NA
"ok so im going back to doing my lab report bye",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506177331200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hobifendi",0,FALSE,FALSE,NA,NA
"RT @pandopolis: Vanthika just hit the meanest stanky leg",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506177220608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KMTSTREE",2,TRUE,FALSE,NA,NA
"RT @TheAtlantic: The Democratic presidential candidates have proposed some of the most ambitious—and expensive—climate policies floated in…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506173218822",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JRCossio",13,TRUE,FALSE,NA,NA
"AIRBUD BUT BIGGER AND WITH MORE TALKING SEND TWEET GOD ARE YOU LISTENING PLEASE WRITE BACK https://t.co/Px1c8EvKYx",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506173206530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolfran_lives",0,FALSE,FALSE,NA,NA
"RT @Stuart_PhotoAFC: An unbelievable evening of love and affection for this incredible man. Would never be where I am at Arsenal without hi…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506173157376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a_mujuni",187,TRUE,FALSE,NA,NA
"RT @954Cobi: Bout to call that 516 number https://t.co/5wmTRivL9i",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506169012226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mikesmovement",10977,TRUE,FALSE,NA,NA
"RT @WSHHSTAR: When your girl wants to play fight and you're not in the mood https://t.co/QJUdZUfYMr",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506168803329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Allycat_1997",466,TRUE,FALSE,NA,NA
"RT @dykeangeI: that is a man and a woman

     those are rats",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506164813824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yeathatmorgan",15,TRUE,FALSE,NA,NA
"Factssss https://t.co/Yl5A9erNWt",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506164760576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","22reasons__",0,FALSE,FALSE,NA,NA
"RT @isbyheydesign: <U+3030><U+FE0F>isbyhey design portfolio <U+3030><U+FE0F>
hwang yunseong - brooches / preview

#designbyisbyhey #<U+0E23><U+0E31><U+0E1A><U+0E2D><U+0E2D><U+0E01><U+0E41><U+0E1A><U+0E1A>
#HappyYunseongDay
#HwangY…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506160451585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cmchonn",13,TRUE,FALSE,NA,NA
"RT @BakaDiscoStar: OMG! so handsome. 

cr: on pic https://t.co/5r8mgFkdzE",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506160390145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jun200004030830",133,TRUE,FALSE,NA,NA
"RT @masikakalysha: Who checked on you today? Exactly. Take care of you.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506156425217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_jaanaay",4709,TRUE,FALSE,NA,NA
"@Aqarius_girl @tvfan00 Let them know, fore warned is fore armed.",FALSE,0,"Aqarius_girl",2019-10-08 03:46:20,FALSE,"1181365197124046848","1181415506156359680","115603860","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heyitsme1357",0,FALSE,FALSE,NA,NA
"RT @jcnnsoo: irene is a VOCALIST https://t.co/1uGYURKXjE",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506156244992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BLACKPINK9876",1,TRUE,FALSE,NA,NA
"RT @AlyssaAshleyC: Congratulations, Jung Hoseok, j-hope of @BTS_twt . This is a milestone that we will never forget. You deserve this and m…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506156240897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mochi_LoverARMY",173,TRUE,FALSE,NA,NA
"RT @HeyFranHey: October is feeling pushy. In a much needed way.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506148036608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheLordGigi",748,TRUE,FALSE,NA,NA
"RT @gtconway3d: President Cuckoo for Cocoa Puffs. https://t.co/BOlJvT5U94",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506143666176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rfjones5150",1944,TRUE,FALSE,NA,NA
"@852BAM Hahahahah that's cute that you put it that way. You say that now, Marya. But i wont let u go either. /inser… https://t.co/T8gFbERjP6",FALSE,0,"852BAM",2019-10-08 03:46:20,TRUE,"1181413888165855232","1181415506143633408","804918203109543936","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","defsjacks",0,FALSE,FALSE,NA,NA
"RT @foursznz: ima be single forever https://t.co/EvJq5YNeHu",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506139602945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimspaytonSims",27,TRUE,FALSE,NA,NA
"RT @urstrulyMahesh: On this auspicious occasion, May  joy, prosperity and happiness be with you throughout the year. Have a joyous and bles…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506139435008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tippusyed10",1347,TRUE,FALSE,NA,NA
"RT @LiquidChillin: Wait Salem lost to Plup at Big House?

LMAOOOOOOOOOO",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506135408640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shargy__",76,TRUE,FALSE,NA,NA
"RT @yashar: I truly don’t think anyone has asked for this https://t.co/303dm6YYjJ",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506135277575",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stckysheets",19,TRUE,FALSE,NA,NA
"RT @dearseungwooni: i miss x1, i hope they’re eating lots and resting lots and sleeping lots",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506131046401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovetae_",14,TRUE,FALSE,NA,NA
"RT @TheQuartering: @pewdiepie New Video! I Knew The ""Media"" Would Ruin What Was One Of The Coolest Moments In My Youtube Career. @pewdiepie…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506122698752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MrStitchFace",20,TRUE,FALSE,NA,NA
"I need some soup, like a really good Pho would smack right now <U+0001F924>",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506118500352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taypadilla97",0,FALSE,FALSE,NA,NA
"RT @BTSGlobalVoting: Top 10 Countries <U+0001F5F3> for 
<U+0001F3C6> - The Concert Tour of 2019
1. South Korea 
2. United States 
3. Indonesia
4. Philippines 
5.…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506114424832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AipatEnelym",404,TRUE,FALSE,NA,NA
"@Mochifairy_ i failed to give you a baby bts i'm so sorry hobi skjsk https://t.co/e5TACIH8Ur",FALSE,0,"yoonyamnyamgi",2019-10-08 03:46:20,FALSE,"1181414832806825984","1181415506114273282","1084470564436074497","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yoonyamnyamgi",0,FALSE,FALSE,NA,NA
"RT @coenesqued: Drama is life with the dull bits cut out.
~ Hitch https://t.co/kyJH4vuYJp",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506110234624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MisterBale15",7,TRUE,FALSE,NA,NA
"RT @rjmxrell: i can be so rude when i’m moody, sorry",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506110111744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Babiiii111",8842,TRUE,FALSE,NA,NA
"It’ll be pretty interesting if I feel any worse tomorrow than I did today",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506110107648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanMcAdams13",0,FALSE,FALSE,NA,NA
"@fred_guttenberg @MarieLDubois1 Space Force report after flying over trump WH <U+0001F447><U+0001F3FB><U+0001F447><U+0001F3FB><U+0001F447><U+0001F3FB> https://t.co/6HWdo4KbWQ",FALSE,0,"fred_guttenberg",2019-10-08 03:46:20,FALSE,"1181185301315817474","1181415506106028032","967027984426242053","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpb1467",0,FALSE,FALSE,NA,NA
"@earthdarlin This is the face you make when you find the person who will love you harder AND with more passion <U+2764><U+FE0F><U+0001F49C><U+0001F497>… https://t.co/OTuW27M3r7",FALSE,0,"earthdarlin",2019-10-08 03:46:20,TRUE,"1181358962576416769","1181415506097643521","1128449641249431557","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taygenbobacon",0,FALSE,FALSE,NA,NA
"@milladeema @Mongo3804 @hrt6017 @americanism34 @Vickie627 @Khary_Illah @chrisg409ubc @TomDoubting @HavokHawk… https://t.co/FOS7r0sDJX",FALSE,0,"milladeema",2019-10-08 03:46:20,TRUE,"1181414488995708928","1181415506093510656","1941839876","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aaronaretools",0,FALSE,FALSE,NA,NA
"@shadowdragontwt @AlexGreek15 @Angel79156082 @NFL @TomBrady @Patriots @JimmyG_10 @49ers And the patriots have???<U+0001F602><U+0001F602><U+0001F602>",FALSE,0,"shadowdragontwt",2019-10-08 03:46:20,FALSE,"1181415137179254784","1181415506093465600","4300597852","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dom_catello",0,FALSE,FALSE,NA,NA
"RT @asghaff: mom: you have 14 apples, and then you eat 2, how many you have left?
me: 6
mom: YOU HAVE 14 APPLES AND THEN YOU EAT 2, HOW MAN…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506084917253",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fazehah_HM",47792,TRUE,FALSE,NA,NA
"@davidgraeber @ForgetfuP Then you better vote for Bernie.",FALSE,0,"davidgraeber",2019-10-08 03:46:20,FALSE,"1181146012305502208","1181415506076565506","27288119","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","COLOREDUNICORN",0,FALSE,FALSE,NA,NA
"RT @Hikazio: saw this beautiful video this morning and had to do a Claude redraw #FE3H

https://t.co/Vo8h4HYYt8 https://t.co/nzzQM9kBhe",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506068164608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruahstuff",428,TRUE,FALSE,NA,NA
"RT @SalehBabaa: Rushing leads to crashing.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506055708672",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SalehBabaa",27,TRUE,FALSE,NA,NA
"RT @loneIy_ari: who checked up on you today?? exactly.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506051571712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soleilnotsilver",4175,TRUE,FALSE,NA,NA
"RT @CyrusToulabi: @allinwithchris #REMEMBER: Last summer, we learned ex-staffers of Cambridge Analytica were working for the Trump 2020 Cam…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506047315969",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JABaloney",18,TRUE,FALSE,NA,NA
"RT @WittySocial: How to Scale Facebook Ad Results With a Tiered Bid Cap and Lookalike Audiences - https://t.co/Co46sSUWo1 https://t.co/x6Gc…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506043195393",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lirinasidorova1",27,TRUE,FALSE,NA,NA
"RT @LUSHHFOREVER: I know y’all aren’t giving bomboclaat the “sco pa tu mana” treatment I know y’all not. https://t.co/KbKzAQDlTs",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506043183104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aleeyah_nicole",3363,TRUE,FALSE,NA,NA
"idk who needs to hear this but break up with your boyfriend and do what you want ;)",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506043162625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","livij_",0,FALSE,FALSE,NA,NA
"Why did she tell a different story in 2007? https://t.co/solXXnXI5J",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506043121666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SmithCliff999",0,FALSE,FALSE,NA,NA
"RT @147Calboy: I’ll tweak wit anybody tbh",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506043121665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Torres__Raul",347,TRUE,FALSE,NA,NA
"RT @kaleytdang: bitches be BONKERS",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506038939648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BriCarthens",3,TRUE,FALSE,NA,NA
"RT @TheTrumpPage1: There's going to be Hell to pay if the City of Minneapolis attempts to stop Trump Supporters from attending the presiden…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506038919168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reyne129",56,TRUE,FALSE,NA,NA
"Night night <U+0001F970>",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506030583808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PinkyDanara_",0,FALSE,FALSE,NA,NA
"RT @hoyapedia: the way I’m already in tears because hobi is such a modest person that as he’s seeing how successful cns is doing he’s proba…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506026254336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Coco32007620",34,TRUE,FALSE,NA,NA
"RT @BitchMobHitta: Who we bout to shoot at https://t.co/S5dGqrB5LG",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506022195200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Callen41O",2476,TRUE,FALSE,NA,NA
"RT @MarkytShop: Thanks to your HUGE support, we grew with an incredible pace! <U+0001F525>

Now, we are talking to a big exchange and thus, we are con…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506017800192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bara_einz",4125,TRUE,FALSE,NA,NA
"RT @halsey: Graveyard video tomorrow
1:17pm EST 
https://t.co/aZVPwt3f6F https://t.co/h7uiN4dpQb",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415506009579520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dreamofnayeul",4058,TRUE,FALSE,NA,NA
"@ThatEricAlper Herb Alpert &amp; the Tijuana Brass and Nat King Cole",FALSE,0,"ThatEricAlper",2019-10-08 03:46:20,FALSE,"1181215156434546689","1181415506001088513","22018221","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tricia0910",0,FALSE,FALSE,NA,NA
"@drm_kir @drmmalda @RailMinIndia @drm_apdj @srdmekir Thanks for the response. Coach Attendant met and Fresh BedRoll given before KNE.",FALSE,0,"drm_kir",2019-10-08 03:46:20,FALSE,"1181409166151143424","1181415506001063938","3288644707","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SabyaS_Ghosh",0,FALSE,FALSE,NA,NA
"RT @SullivanKing: HAPPY OCTOBER U HORRIFIC AND TWISTED FUCKS",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415505996988416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaptainAshleey",20,TRUE,FALSE,NA,NA
"@djbabybachchoi literally who was it i want to know they have a galaxy brain",FALSE,1,"djbabybachchoi",2019-10-08 03:46:20,FALSE,"1181414927380226049","1181415505992830978","902134066778165248","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tozkaspbrak",0,FALSE,FALSE,NA,NA
"RT @chartdata: Billboard Hot 100: #43(new) iPHONE, @DaBabyDaBaby &amp; @NICKIMINAJ.",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415505988595713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickim0125",848,TRUE,FALSE,NA,NA
"RT @AmirRozali: 5000 years old? Israel? That can’t be right https://t.co/1bJecjsxAd",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415505988440064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_AziffAshraf",5434,TRUE,FALSE,NA,NA
"RT @BTSVotingFam: We got tickets! First time talking to admin L over the phone and we just kept screaming! So excited not only because we w…",FALSE,0,NA,2019-10-08 03:46:20,FALSE,NA,"1181415505976025088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","minyoongismilee",397,TRUE,FALSE,NA,NA
